id,osmId,osm_type,name,type,capacity,occupancy,duration,resort,latitude,longitude
4642,12486390543,node,,pylon,,,,,46.2268244,10.8480423
4643,12486390544,node,,pylon,,,,,46.2256177,10.8481239
4644,12486390545,node,,pylon,,,,,46.2241213,10.8482251
4645,12486390546,node,,pylon,,,,,46.2235679,10.8482625
4646,12486432469,node,,pylon,,,,,46.1674296,10.7860611
4647,12486432470,node,,pylon,,,,,46.1674221,10.7882666
4648,12486432471,node,,pylon,,,,,46.1674161,10.7900115
4649,12486432472,node,,pylon,,,,,46.167412,10.7912409
4650,12486432473,node,,pylon,,,,,46.1674078,10.792467
4651,12486432474,node,,pylon,,,,,46.167407,10.7927105
4652,12486432475,node,,pylon,,,,,46.1674035,10.7937427
4653,12486432476,node,,pylon,,,,,46.1673992,10.7950028
4654,12486432477,node,,pylon,,,,,46.1673922,10.7970548
4655,12486432478,node,,pylon,,,,,46.1673881,10.7982656
4656,12486432479,node,,pylon,,,,,46.1673836,10.7995782
4657,12486432480,node,,pylon,,,,,46.1673761,10.8018089
4658,12486432481,node,,pylon,,,,,46.1673812,10.8002929
4659,12486432482,node,,pylon,,,,,46.1673715,10.8031676
4660,12486432483,node,,pylon,,,,,46.1673687,10.8039656
4661,12486432484,node,,pylon,,,,,46.1673635,10.8055153
4662,12492458661,node,,pylon,,,,,46.0968699,11.6566755
4663,12492458662,node,,pylon,,,,,46.0971413,11.658027
4664,12492458663,node,,pylon,,,,,46.0974264,11.6594469
4665,12492458664,node,,pylon,,,,,46.0976978,11.6607987
4666,12492458665,node,,pylon,,,,,46.097999,11.6622988
4667,12492458666,node,,pylon,,,,,46.0981736,11.6631684
4668,12492458667,node,,pylon,,,,,46.0984206,11.6643987
4669,12492458668,node,,pylon,,,,,46.0986527,11.6655546
4670,12492458669,node,,pylon,,,,,46.0988737,11.6666552
4671,12492458670,node,,pylon,,,,,46.1046727,11.6611136
4672,12492458671,node,,pylon,,,,,46.1047364,11.6618269
4673,12492458672,node,,pylon,,,,,46.1048245,11.6628145
