id,osmId,osm_type,name,difficulty,resort,ref,lit,grooming,latitude,longitude
144,31261481,way,,intermediate,,,,classic,46.3509926,11.4488753
145,31724460,way,Marchner,easy,,28,no,classic,46.7350908,11.9838976
146,31724461,way,Pré da Peres 32 V,intermediate,,32,,,46.7174524,11.9680442
147,31724462,way,Pre da Peres 32,intermediate,,32R,,classic,46.7193269,11.9671596
148,31724463,way,Col Toron,intermediate,,34,no,classic,46.718677,11.9646341
149,31724466,way,Piz de Plaies,intermediate,,41,no,classic,46.6966397,11.915661
150,32126456,way,Salere,intermediate,,1,,,46.4729534,11.8672826
151,32126700,way,Col Pradat,advanced,,45,no,classic,46.5631429,11.8562801
152,32146115,way,La Crusc 2,easy,,53,no,classic,46.6138553,11.9353487
153,32150676,way,Bamby 1,intermediate,,16A,,,46.5614119,11.9091556
154,32150677,way,Piz Sorega A,intermediate,,12,no,classic,46.5621238,11.9305116
155,32150678,way,Piz Sorega B,easy,,11,no,classic,46.5545543,11.9299549
156,32150679,way,La Para,easy,,29,,,46.5518292,11.910061
157,32150681,way,Incisa,easy,,21,no,classic,46.5308349,11.907972
158,32150682,way,Pista del sole,easy,,34,no,classic,46.5249651,11.9120796
159,32151003,way,,easy,,,,,46.5840457,11.9058134
160,32151004,way,,easy,,,,,46.5839134,11.905755
161,32151005,way,La Brancia - Pralongiá I,easy,,6,,,46.546461,11.9049698
162,32151006,way,La Marmotta - Planac,intermediate,,21A,no,classic,46.53324,11.8956745
163,32151007,way,Pralongià II,easy,,8,no,classic,46.5388114,11.8909369
164,32151008,way,Pralongià I - Arlara,easy,,5A,no,classic,46.5455251,11.8941511
165,32151010,way,Costes da l'Ega,easy,,8,,,46.5471844,11.8724988
166,32151011,way,Costes da l'Ega,easy,,8,no,classic,46.5459707,11.8759268
167,32151012,way,Costes da l'Ega,easy,,8,no,classic,46.54656,11.8739334
168,32196077,way,Vallelunga,advanced,,,no,classic,46.5596072,11.7740429
169,32196964,way,Cir,advanced,,,no,classic,46.5555751,11.7864186
170,32196965,way,Dantercepies,intermediate,,,no,classic,46.55334,11.7852404
171,32196968,way,Panorama,intermediate,,,no,classic,46.5510726,11.7959035
172,32200057,way,,intermediate,,,,classic,46.5538033,11.7997578
173,32200059,way,Frara Variante,easy,,40A,no,classic,46.5473179,11.8367108
174,32200060,way,Frara,easy,,40,no,classic,46.5478617,11.8367108
175,32211809,way,3-Tre,intermediate,,11,no,classic,46.4965105,11.7693396
176,32212413,way,Pian Frataces,intermediate,,6,,,46.4841936,11.7971804
177,32212416,way,Col dei Rossi,intermediate,,5,,,46.4786241,11.7956418
178,32212417,way,Vernel,intermediate,,2,,,46.4758386,11.8047732
179,32212418,way,Belvedere I,intermediate,,40,no,classic,46.4814427,11.8174917
180,32230287,way,Boè - Crep de Mont,intermediate,,2,no,classic,46.5294736,11.8724862
181,32230293,way,Crep de Mont,easy,,2,no,classic,46.5339599,11.8806388
182,32230518,way,Costes da l'Ega,easy,,,no,classic,46.5447397,11.8790786
183,32463010,way,,intermediate,,,,,46.4909597,11.7824719
184,32479025,way,,intermediate,,,,,46.4914849,11.7815972
185,32479026,way,,intermediate,,,,,46.4913137,11.7818787
186,32479027,way,,intermediate,,,,,46.4909635,11.782471
187,32479030,way,,intermediate,,,,,46.4913732,11.7819102
188,32547984,way,Belvedere II,intermediate,,41,,,46.482611,11.8176076
189,32548148,way,Val Setus,intermediate,,,no,classic,46.5541522,11.8023143
190,32558580,way,Collegamento Ciampinoi - Costabella,intermediate,,,no,classic,46.5494496,11.764712
191,32558799,way,Dantercepies,easy,,,no,classic,46.5525334,11.7971265
192,32559110,way,,intermediate,,,,,46.4785525,11.8123172
193,32559144,way,,intermediate,,,,,46.4822889,11.8011496
194,32559639,way,Pian Frataces,intermediate,,6,,,46.4920455,11.7845051
195,32559644,way,Pian Frataces,intermediate,,6,,,46.4885775,11.7892295
196,32559645,way,Pian Frataces,intermediate,,6,,,46.4860975,11.7910534
197,32962920,way,Hintereis 1,intermediate,,,,,46.7880311,10.7946808
198,33682620,way,Muteggpiste - Pista Monte Muta,advanced,,8,,classic,46.5355979,10.9110518
199,33684004,way,,easy,,,,,46.540007,10.90491
200,33684005,way,,easy,,,,,46.5385661,10.906013
201,33684006,way,,intermediate,,,,,46.538596,10.9073798
202,33684007,way,,easy,,,,,46.5372727,10.9097768
203,33684008,way,Asmol,intermediate,,6,,,46.5391983,10.9150649
204,33684010,way,,easy,,,,,46.5401576,10.922132
205,33684011,way,,easy,,,,,46.5380258,10.9228387
206,33684012,way,Kircheler,intermediate,,4,,,46.5413714,10.9283005
207,33684014,way,Dreimandler,intermediate,,7,,,46.536297,10.9218628
208,33684015,way,,easy,,,,,46.53164,10.9155722
209,33684019,way,Schwemmalm - Malga Guazza,intermediate,,3,,,46.5388502,10.9286315
210,33684020,way,,easy,,,,,46.5402657,10.9324433
211,33684021,way,,easy,,,,,46.5422162,10.9312451
212,33684022,way,Talabfahrt - Discesa,intermediate,,1,,,46.5433242,10.9381231
213,34167339,way,,intermediate,,,,,46.392399,11.2076764
214,34634971,way,,intermediate,Residenza,,,,46.3472269,11.5569717
215,34714189,way,Zwölferkopf II,advanced,,9,,classic,46.7963705,10.4780667
216,34714191,way,Hütteltal,advanced,,7,,classic,46.7975708,10.4835912
217,34714192,way,Rojenabfahrt,advanced,,6,,classic,46.8000337,10.4811569
218,34714193,way,Zehnerabfahrt,intermediate,,5,,classic,46.7997688,10.4898885
219,34714194,way,Aussichtsabfahrt,easy,,4,,classic,46.7998491,10.4900426
220,34714195,way,Jochabfahrt,easy,,3,,classic,46.802449,10.4938408
