slopeId,osmId,name,difficulty,resort,ref,latitude,longitude
103,30074454,,easy,Dolomiti Superski,,46.5350697,11.904608
104,30074455,Biok - Pralongia II,easy,Dolomiti Superski,7,46.5431792,11.9070408
105,30074456,Biok,easy,Dolomiti Superski,13,46.550967,11.912574
106,30074457,,easy,Dolomiti Superski,14,46.5535689,11.9118132
107,30074458,,easy,Dolomiti Superski,28,46.5552139,11.9184198
108,30074459,La Brancia,easy,Alta Badia,15A,46.5575522,11.9098384
109,30074460,,easy,Alta Badia,,46.5528931,11.9066346
110,30074461,Braia Fraida - Roby,easy,Alta Badia,20,46.5539925,11.9033405
111,30074462,,easy,Alta Badia,,46.5560957,11.8994502
112,30074464,Altin,intermediate,Alta Badia Shop & Rental,17,46.572188,11.9089951
113,30074468,Codes,easy,Dolomiti Superski,30,46.5585696,11.9232787
114,30074469,Col Alt 4,intermediate,Alta Badia,4,46.5489033,11.8825094
115,30074474,Braia Fraida,easy,Alta Badia,5,46.5513857,11.9009645
116,30074476,Bamby 2,intermediate,Alta Badia,16B,46.5634723,11.9102959
117,30075928,Colz,easy,Alta Badia Shop & Rental,,46.584137,11.9006774
118,30075929,,advanced,Alta Badia Shop & Rental,,46.5872483,11.8881927
119,30075930,Colz - Donin,easy,Alta Badia Shop & Rental,,46.5837062,11.9020365
120,30075933,,easy,Alta Badia Shop & Rental,,46.6086441,11.8967626
121,30075934,La Crusc,easy,Alta Badia Shop & Rental,52,46.6106307,11.9101527
122,30075938,La Crusc 2,easy,Alta Badia Shop & Rental,53,46.6132145,11.9302989
123,30075940,Biok - Saraghes,easy,Dolomiti Superski,10,46.5484126,11.9207813
124,30120249,Pitla Pela,intermediate,Centro di fondo Vallunga,,46.5838181,11.7495517
125,30121435,Ciampinoi 4,intermediate,Sport Schenk,4,46.5446922,11.7557659
126,30121441,Ciampinoi 6,intermediate,Sport Schenk,6,46.5353968,11.7589241
127,30122272,Collegamento Alpha - Bravo,intermediate,Val Gardena,,46.5432244,11.7192035
128,30122436,,intermediate,Val Gardena,,46.5394206,11.7255795
129,30136518,La Longia - Furnes,intermediate,Val Gardena,,46.5832956,11.6892636
130,30213203,Colraiser - Fermeda,easy,Centro di fondo Vallunga,,46.5851417,11.7468932
131,30421855,Dantercepies - Selva,easy,Sport Schenk,,46.5561134,11.7677692
132,30421857,Dantercepies - Selva,easy,Sport Schenk,,46.5549826,11.764915
133,30763043,,,Mittager 1 - Catino 1,,46.6721162,11.3072189
134,30792445,Tomba,advanced,Vigo di Fassa - Ciampedie,,46.4349986,11.6572866
135,30792447,Vajolet 1,easy,Vigo di Fassa - Ciampedie,,46.4409156,11.6868253
136,30804946,22 Frommer,intermediate,22 Frommer,,46.4415328,11.5976153
137,30804947,24 Laurin I,easy,24 Laurin I,,46.4389803,11.5763565
138,31261330,Corno Bianco,intermediate,Jochgrimm,89,46.3503062,11.4505885
139,31261351,Collegamento bianconero,easy,Jochgrimm,93,46.3462127,11.4480975
140,31261385,La Rocca,intermediate,Jochgrimm,90,46.3395663,11.4513292
141,31261421,Fanti,easy,Jochgrimm,91,46.3438528,11.4551617
142,31261451,,easy,Jochgrimm,,46.343356,11.4531099
143,31261455,La Rocca,intermediate,Jochgrimm,90,46.3421644,11.4524818
144,31261481,,intermediate,Jochgrimm,,46.3509926,11.4488753
145,31724460,Marchner,easy,Kronplatz - Plan de Corones,28,46.7350908,11.9838976
146,31724461,Pré da Peres 32 V,intermediate,Kronplatz - Plan de Corones,32,46.7174524,11.9680442
147,31724462,Pre da Peres 32,intermediate,Kronplatz - Plan de Corones,32R,46.7193269,11.9671596
148,31724463,Col Toron,intermediate,Kronplatz - Plan de Corones,34,46.718677,11.9646341
149,31724466,Piz de Plaies,intermediate,Antermoia,41,46.6966397,11.915661
150,32126456,Salere,intermediate,Arabba,1,46.4729534,11.8672826
151,32126700,Col Pradat,advanced,Alta Badia,45,46.5631429,11.8562801
152,32146115,La Crusc 2,easy,Alta Badia Shop & Rental,53,46.6138553,11.9353487
153,32150676,Bamby 1,intermediate,Alta Badia,16A,46.5614119,11.9091556
154,32150677,Piz Sorega A,intermediate,Dolomiti Superski,12,46.5621238,11.9305116
155,32150678,Piz Sorega B,easy,Dolomiti Superski,11,46.5545543,11.9299549
156,32150679,La Para,easy,Dolomiti Superski,29,46.5518292,11.910061
157,32150681,Incisa,easy,Dolomiti Superski,21,46.5308349,11.907972
158,32150682,Pista del sole,easy,Dolomiti Superski,34,46.5249651,11.9120796
159,32151003,,easy,Alta Badia Shop & Rental,,46.5840457,11.9058134
160,32151004,,easy,Alta Badia Shop & Rental,,46.5839134,11.905755
161,32151005,La Brancia - Pralongiá I,easy,Dolomiti Superski,6,46.546461,11.9049698
162,32151006,La Marmotta - Planac,intermediate,Dolomiti Superski,21A,46.53324,11.8956745
163,32151007,Pralongià II,easy,Alta Badia,8,46.5388114,11.8909369
164,32151008,Pralongià I - Arlara,easy,Alta Badia,5A,46.5455251,11.8941511
165,32151010,Costes da l'Ega,easy,Alta Badia,8,46.5471844,11.8724988
166,32151011,Costes da l'Ega,easy,Alta Badia,8,46.5459707,11.8759268
167,32151012,Costes da l'Ega,easy,Alta Badia,8,46.54656,11.8739334
168,32196077,Vallelunga,advanced,Centro di fondo Vallunga,,46.5596072,11.7740429
169,32196964,Cir,advanced,Centro di fondo Vallunga,,46.5555751,11.7864186
170,32196965,Dantercepies,intermediate,Centro di fondo Vallunga,,46.55334,11.7852404
171,32196968,Panorama,intermediate,Centro di fondo Vallunga,,46.5510726,11.7959035
172,32200057,,intermediate,Centro di fondo Vallunga,,46.5538033,11.7997578
173,32200059,Frara Variante,easy,Sellaronda,40A,46.5473179,11.8367108
174,32200060,Frara,easy,Sellaronda,40,46.5478617,11.8367108
175,32211809,3-Tre,intermediate,Belvedere - Col Rodella - Passo Pordoi,11,46.4965105,11.7693396
176,32212413,Pian Frataces,intermediate,Belvedere - Col Rodella - Passo Pordoi,6,46.4841936,11.7971804
177,32212416,Col dei Rossi,intermediate,Belvedere - Col Rodella - Passo Pordoi,5,46.4786241,11.7956418
178,32212417,Vernel,intermediate,Belvedere - Col Rodella - Passo Pordoi,2,46.4758386,11.8047732
179,32212418,Belvedere I,intermediate,Belvedere - Col Rodella - Passo Pordoi,40,46.4814427,11.8174917
180,32230287,Boè - Crep de Mont,intermediate,Sellaronda,2,46.5294736,11.8724862
181,32230293,Crep de Mont,easy,Alta Badia,2,46.5339599,11.8806388
182,32230518,Costes da l'Ega,easy,Alta Badia,,46.5447397,11.8790786
183,32463010,,intermediate,Belvedere - Col Rodella - Passo Pordoi,,46.4909597,11.7824719
184,32479025,,intermediate,Belvedere - Col Rodella - Passo Pordoi,,46.4914849,11.7815972
185,32479026,,intermediate,Belvedere - Col Rodella - Passo Pordoi,,46.4913137,11.7818787
186,32479027,,intermediate,Belvedere - Col Rodella - Passo Pordoi,,46.4909635,11.782471
187,32479030,,intermediate,Belvedere - Col Rodella - Passo Pordoi,,46.4913732,11.7819102
188,32547984,Belvedere II,intermediate,Belvedere - Col Rodella - Passo Pordoi,41,46.482611,11.8176076
189,32548148,Val Setus,intermediate,Centro di fondo Vallunga,,46.5541522,11.8023143
190,32558580,Collegamento Ciampinoi - Costabella,intermediate,Sport Schenk,,46.5494496,11.764712
191,32558799,Dantercepies,easy,Centro di fondo Vallunga,,46.5525334,11.7971265
192,32559110,,intermediate,Belvedere - Col Rodella - Passo Pordoi,,46.4785525,11.8123172
193,32559144,,intermediate,Belvedere - Col Rodella - Passo Pordoi,,46.4822889,11.8011496
194,32559639,Pian Frataces,intermediate,Belvedere - Col Rodella - Passo Pordoi,6,46.4920455,11.7845051
195,32559644,Pian Frataces,intermediate,Belvedere - Col Rodella - Passo Pordoi,6,46.4885775,11.7892295
196,32559645,Pian Frataces,intermediate,Belvedere - Col Rodella - Passo Pordoi,6,46.4860975,11.7910534
197,32962920,Hintereis 1,intermediate,Val Senales-Schnalstal,,46.7880311,10.7946808
